st,en,popularity
31017,31079,4068
31402,31602,4065
31238,31623,4062
31256,31256,4061
31101,31121,4059
31241,31281,4057
31204,31221,4049
31258,31260,4045
31243,31289,4042
31258,31314,4042
31201,31225,4039
31281,31603,4039
31200,31231,4037
31212,31228,4037
31105,31115,4036
31014,31314,4033
31246,31267,4027
31610,31614,4024
31106,31110,4024
31517,31615,4024
31111,31114,4018
31108,31610,4018
31116,31239,4017
31215,31248,4014
31014,31030,4010
31118,31245,4010
31228,31231,4008
31214,31602,4007
31111,31603,4003
31624,31627,3999
31060,31063,3997
31200,31604,3997
31103,31111,3994
31214,31227,3992
31201,31255,3991
31104,31111,3991
31107,31114,3987
31241,31278,3985
31228,31506,3985
31606,31618,3979
31118,31281,3974
31233,31258,3972
31243,31264,3972
31240,31273,3972
31213,31251,3968
31129,31247,3968
31101,31281,3964
31111,31506,3962
31105,31401,3958
31201,31604,3956
31212,31221,3953
31226,31312,3950
31229,31238,3949
31116,31267,3948
31604,31620,3947
31233,31600,3947
31209,31623,3946
31228,31636,3945
31042,31043,3939
31109,31268,3939
31212,31215,3938
31102,31268,3935
31218,31264,3934
31266,31603,3932
31247,31633,3930
31227,31227,3930
31022,31030,3930
31212,31266,3930
31208,31635,3923
31300,31313,3916
31247,31613,3915
31201,31286,3909
31213,31252,3902
31228,31638,3901
31265,31274,3901
31108,31248,3897
31256,31263,3892
31110,31267,3891
31005,31013,3890
31101,31237,3886
31014,31312,3884
32024,32034,3884
31606,31607,3881
31002,31002,3881
31232,31281,3878
31243,31288,3877
31301,31302,3875
31624,31626,3873
31003,31005,3869
31270,31270,3863
31228,31264,3863
31108,31256,3863
31029,31089,3862
31023,31039,3858
31271,31272,3858
31225,31229,3858
31221,31225,3858
31241,31602,3857
31103,31124,3856
31265,31265,3854
31229,31231,3854
31600,31611,3852
31113,31214,3850
31118,31202,3849
31110,31233,3845
31102,31203,3844
31109,31266,3844
31231,31233,3842
31264,31264,3832
31606,31630,3827
31111,31119,3826
31260,31260,3825
31201,31247,3822
31035,31037,3821
31114,31241,3821
31603,31618,3821
31208,31628,3809
31104,31202,3808
32000,32048,3805
31103,31241,3805
31229,31312,3805
31608,31634,3804
31235,31623,3799
31118,31200,3799
31241,31623,3796
31233,31239,3796
31269,31618,3795
31277,31623,3794
31232,31288,3791
31603,31628,3789
31113,31229,3788
31214,31600,3787
31228,31262,3786
31119,31229,3785
31223,31267,3784
31243,31290,3783
31230,31233,3781
31916,31916,3781
31037,31039,3779
31272,31624,3778
31107,31212,3777
31015,31236,3776
31101,31263,3774
31274,31600,3772
31222,31237,3771
31214,31275,3770
31205,31215,3769
31615,31641,3768
31111,31228,3767
31100,31246,3766
31110,31224,3766
31219,31230,3764
31212,31251,3763
31205,31624,3761
31216,31216,3759
31624,31628,3756
31270,31624,3756
31303,31320,3755
31203,31604,3754
31123,31124,3753
31101,31257,3745
31604,31621,3744
31271,31290,3742
31126,31602,3740
31265,31616,3740
31211,31215,3737
31201,31265,3736
31102,31105,3735
31203,31237,3732
31129,31271,3728
31108,31230,3726
31207,31602,3725
31606,31634,3724
31203,31224,3722
31217,31271,3720
31128,31241,3719
31102,31214,3717
