st,en,popularity
31003,31066,358
31003,31067,45
31003,31068,8
31003,31069,4
31003,31070,13
31003,31071,2064
31003,31072,19
31003,31073,51
31003,31074,51
31003,31075,76
31003,31076,70
31003,31077,224
31003,31078,21
31003,31079,39
31003,31080,91
31003,31081,14
31003,31082,16
31003,31083,144
31003,31084,23
31003,31085,657
31003,31086,95
31003,31087,176
31003,31088,238
31003,31089,34
31003,31090,608
31003,31091,877
31003,31092,1
31003,31093,7
31003,31094,16
31003,31095,361
31003,31096,10
31003,31097,140
31003,31098,66
31003,31099,30
31003,31100,53
31003,31101,33
31003,31102,21
31003,31103,17
31003,31104,14
31003,31105,9
31003,31106,19
31003,31107,27
31003,31108,235
31003,31109,7
31003,31110,65
31003,31111,36
31003,31112,27
31003,31113,16
31003,31114,25
31003,31115,8
31003,31116,51
31003,31117,110
31003,31118,4
31003,31119,9
31003,31120,14
31003,31121,13
31003,31122,2
31003,31123,7
31003,31124,8
31003,31125,39
31003,31126,1
31003,31127,9
31003,31128,13
31003,31129,69
31003,31130,3
31003,31131,2
31003,31132,7
31003,31200,73
31003,31201,130
31003,31202,31
31003,31203,95
31003,31204,194
31003,31205,85
31003,31206,176
31003,31207,2
31003,31208,45
31003,31209,98
31003,31211,201
31003,31212,96
31003,31213,93
31003,31214,63
31003,31215,286
31003,31216,89
31003,31217,641
31003,31218,283
31003,31219,183
31003,31220,242
31003,31221,122
31003,31222,443
31003,31223,34
31003,31224,23
31003,31225,276
31003,31226,25
31003,31227,76
31003,31228,81
31003,31229,30
31003,31230,147
31003,31231,250
31003,31232,132
31003,31233,94
31003,31234,71
31003,31235,361
31003,31236,134
31003,31237,80
31003,31238,154
31003,31239,26
31003,31240,473
31003,31241,131
31003,31242,116
31003,31243,164
31003,31244,54
31003,31245,36
31003,31246,108
31003,31247,1335
31003,31248,448
31003,31249,7519
31003,31250,21
31003,31251,29
31003,31252,23
31003,31253,23
31003,31254,61
31003,31255,8
31003,31256,68
31003,31257,76
31003,31258,2004
31003,31259,86
31003,31260,247
31003,31261,388
31003,31262,22
31003,31263,26
31003,31264,58
31003,31265,36
31003,31266,41
31003,31267,167
31003,31268,11
31003,31269,28
31003,31270,84
31003,31271,92
31003,31272,59
31003,31273,117
31003,31274,28
31003,31275,119
31003,31276,47
31003,31277,70
31003,31278,39
31003,31279,61
31003,31280,61
31003,31281,73
31003,31282,23
31003,31283,24
31003,31284,37
31003,31285,93
31003,31286,56
31003,31287,95
31003,31288,103
31003,31289,204
31003,31290,154
31003,31291,30
31003,31292,24
31003,31293,70
31003,31294,49
31003,31295,100
31003,31296,19
31003,31297,47
31003,31298,48
31003,31299,28
31003,31300,2
31003,31301,5
31003,31302,2
31003,31303,5
31003,31304,9
31003,31305,1
31003,31306,18
31003,31307,20
31003,31308,2
31003,31310,1
31003,31312,50
31003,31313,1
31003,31314,124
31003,31316,1
31003,31317,1
31003,31321,698
31003,31323,2
31003,31324,90
31003,31325,11
31003,31326,5
31003,31327,7
31003,31328,12
31003,31400,12
31003,31401,1
31003,31403,1
31003,31404,2
31003,31406,2
31003,31407,3
31003,31415,1
31003,31419,3
31003,31421,1
31003,31500,1
31003,31501,1
31003,31502,1
31003,31503,12
31003,31504,2
31003,31505,2
31003,31506,32
31003,31507,1
31003,31508,1
31003,31509,1
31003,31510,1
31003,31516,1
31003,31517,6
31003,31519,8
31003,31522,6
31003,31523,8
31003,31524,1
31003,31600,25
31003,31601,4
31003,31602,13
31003,31603,24
31003,31604,52
31003,31605,45
31003,31606,19
31003,31607,18
31003,31608,14
31003,31609,501
31003,31610,21
31003,31611,6
31003,31612,10
31003,31613,53
31003,31614,10
31003,31615,21
31003,31616,41
31003,31617,2
31003,31618,38
31003,31619,19
31003,31620,38
31003,31621,16
31003,31622,3
31003,31623,170
31003,31624,52
31003,31625,7
31003,31627,23
31003,31628,112
31003,31629,1
31003,31630,9
31003,31631,4
31003,31632,4
31003,31633,77
31003,31634,32
31003,31635,1
31003,31636,2
31003,31637,12
