short_name,name,lat,lon,tripcount,roundtrips
31048,King St Metro South,38.80576284873485,-77.060626745224,65612,1763
31255,24th & N St NW,38.9066,-77.05152,231924,3449
31256,10th & E St NW,38.895914,-77.026064,253810,4278
31257,22nd & I St NW / Foggy Bottom,38.90088,-77.048911,368277,4809
31049,Utah St & 11th St N,38.883669,-77.113905,36826,1367
31050,Barton St & 10th St N,38.884961,-77.08777,30551,626
31051,Arlington Blvd & N Queen St,38.889365,-77.077294,39961,808
31258,Lincoln Memorial,38.888255,-77.0494365,900793,37922
31259,20th St & Virginia Ave NW,38.894722,-77.045128,78736,1483
31265,5th St & Massachusetts Ave NW,38.90093,-77.018677,373787,4195
31308,39th & Veazey St NW,38.943837,-77.077078,58690,705
31309,Fessenden St & Wisconsin Ave NW,38.954812,-77.082426,23560,670
31627,3rd & M St NE,38.90546971494327,-77.0021304488182,329280,3956
31053,Columbia Pike & S Courthouse Rd,38.863833,-77.080319,26726,1153
31054,Wakefield High School,38.847129045742605,-77.1125502884388,7835,562
31055,28th St & S Meade St,38.846222,-77.069275,23853,1588
31114,18th St & Wyoming Ave NW,38.918809,-77.041571,298136,2502
31403,5th & Kennedy St NW,38.95655554772196,-77.0198142528534,30751,1069
31405,Georgia Ave & Emerson St NW,38.949662,-77.027333,32475,470
31406,14th & Upshur St NW,38.942475355602845,-77.03267812728882,64512,914
31407,14th St & Colorado Ave NW,38.956432,-77.032947,47224,1833
31056,Troy St & 26th St S,38.847977,-77.075104,19474,1850
31057,Four Mile Run Dr & S Shirlington Rd,38.8444,-77.085931,18006,1411
31058,Columbia Pike & S Oakland St,38.860789,-77.09586,5802,328
31059,Four Mile Run Dr & S Walter Reed Dr,38.84736,-77.095431,18180,1403
31060,S Arlington Mill Dr & Campbell Ave,38.84232,-77.089555,40255,4700
31061,Kenmore St & 24th St S,38.848454,-77.084918,6249,340
32006,13th St & Eastern Ave,38.987,-77.029417,13534,649
31312,Wisconsin Ave & O St NW,38.90849,-77.063586,193309,2987
31062,Roosevelt Island,38.896553,-77.06714,52194,7078
31310,Connecticut & Nebraska Ave NW,38.955016,-77.069956,68504,1003
31267,17th St & Massachusetts Ave NW,38.908142,-77.038359,341289,3272
31117,15th & Euclid St NW,38.92333,-77.0352,200705,2436
31629,8th & East Capitol St NE,38.889988,-76.995193,140848,2446
31509,New Jersey Ave & R St NW,38.912659,-77.017669,171640,1701
31630,15th & East Capitol St NE,38.889908,-76.983326,121451,1675
31631,8th & F St NE,38.897274,-76.994749,171494,2057
31510,18th St & Rhode Island Ave NE,38.927095,-76.978924,17172,459
31632,15th & F St NE,38.897195,-76.983575,113559,1686
31511,12th & Irving St NE,38.928644,-76.990955,38609,1193
31800,Alabama & MLK Ave SE,38.84322988730829,-76.99937582015991,5546,291
31807,Pleasant St & MLK Ave SE,38.863897,-76.990037,13508,402
31512,Neal St & Trinidad Ave NE,38.903732,-76.987211,77648,927
31268,12th & U St NW,38.916787,-77.028139,289047,2345
31063,S George Mason & Four Mile Run Dr,38.852248,-77.105022,14360,1543
31064,Gravelly Point,38.865029,-77.039511,75713,9853
31065,Pershing Dr & Wayne St,38.880705,-77.08596,34837,1058
31066,Columbia Pike & S Orme St,38.867262,-77.072315,24227,1179
31269,3rd St & Pennsylvania Ave SE,38.887378,-77.001955,246993,3463
31270,8th & D St NW,38.894851,-77.02324,239680,4082
31118,3rd & Elm St NW,38.917622,-77.01597,156126,2559
31513,Rhode Island Ave & V St NE,38.918155,-77.004746,63915,632
31271,Constitution Ave & 2nd St NW/DOL,38.892275,-77.013917,356942,11306
31272,Washington & Independence Ave SW/HHS,38.886978,-77.013769,279642,4805
31633,Independence Ave & L'Enfant Plaza SW/DOE,38.887312,-77.025762,130792,3498
31514,Hamlin & 7th St NE,38.927497,-76.997194,39349,817
31067,Columbia Pike & S Walter Reed Dr,38.862478,-77.086599,25589,635
31068,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,38.856319,-77.11153,19838,2849
31069,Pershing Dr & N George Mason Dr,38.871822,-77.107906,36080,786
32001,Fenton St & New York Ave ,38.985404,-77.023082,19697,415
32002,Bethesda Ave & Arlington Rd,38.981103,-77.097426,40557,2510
32003,Montgomery Ave & Waverly St ,38.983838,-77.09221,11613,574
32004,Fallsgrove Blvd & Fallsgrove Dr,39.096312,-77.192672,5384,910
32005,Traville Gateway Dr & Gudelsky Dr,39.093783,-77.202501,1762,438
32000,Norfolk Ave & Fairmont St,38.988562,-77.096539,19352,720
32007,E Montgomery Ave & Maryland Ave,39.084125,-77.151291,5763,972
32008,Cordell & Norfolk Ave,38.98954,-77.098029,20589,558
32009,Frederick Ave & Horners Ln,39.094772,-77.145213,2871,239
32010,Philadelphia & Maple Ave,38.98128,-77.011336,14713,303
32011,Maple & Ritchie Ave,38.983627,-77.006311,16255,1072
32012,Silver Spring Metro / Colesville Rd & Wayne Ave,38.995256441231696,-77.02912420034409,18245,812
32013,Montgomery & East Ln,38.983525,-77.095367,20500,682
32014,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,38.961763,-77.085998,40729,925
32015,Crabbs Branch Way & Redland Rd,39.12101862840929,-77.15880982291073,1049,145
31119,14th & Belmont St NW,38.921074,-77.031887,252787,1952
31634,3rd & Tingey St SE,38.87501,-77.0024,186972,3623
31120,10th & Florida Ave NW,38.920387,-77.025672,144194,1552
31635,Potomac Ave & 8th St SE,38.876737,-76.994468,56176,758
32016,Fallsgrove Dr & W Montgomery Ave,39.099376,-77.188014,4165,1352
32017,Monroe St & Monroe Pl,39.083673,-77.149162,4729,1161
32018,Needwood Rd & Eagles Head Ct,39.123513,-77.15741,4131,593
32019,East West Hwy & Blair Mill Rd,38.990249,-77.02935,16370,1016
32020,Crabbs Branch Way & Calhoun Pl,39.107709,-77.152072,4284,192
32021,47th & Elm St,38.982456,-77.091991,14871,946
32022,Dennis Ave & Amherst Ave,39.02538719623632,-77.04456299543381,3847,669
32023,Montgomery College / W Campus Dr & Mannakee St,39.095661,-77.159048,4261,310
32024,Fenton St & Gist Ave,38.989724,-77.023854,17013,396
32025,Carroll & Westmoreland Ave,38.975,-77.01121,22288,713
32026,Carroll & Ethan Allen Ave,38.977933,-77.006472,32804,313
32027,Battery Ln & Trolley Trail,38.992375,-77.100104,25527,1219
32028,Norfolk & Rugby Ave,38.990639,-77.100239,10593,471
32029,Offutt Ln & Chevy Chase Dr,38.977093,-77.094589,18094,856
32030,Broschart & Blackwell Rd,39.102099,-77.200322,397,61
32031,Rockville Metro West,39.084496667602,-77.14697391567552,1426,114
32032,Fleet St & Ritchie Pkwy,39.076331,-77.141378,5675,836
32033,Piccard & W Gude Dr,39.102212,-77.177091,4207,264
32034,Silver Spring Transit Center - Top Level,38.99403485060837,-77.03037142753601,13164,404
32035,Georgia Ave & Spring St,38.999388,-77.031555,7818,625
32036,Fenton St & Ellsworth Dr ,38.997033,-77.025608,21948,1643
32037,King Farm Blvd & Pleasant Dr,39.114688,-77.171487,9342,1342
32038,King Farm Blvd & Piccard Dr,39.110314,-77.182669,9096,739
31121,Calvert St & Woodley Pl NW,38.923583,-77.050046,250592,2967
31636,New Jersey Ave & N St NW/Dunbar HS,38.90733256111448,-77.01536044478416,146612,1497
31710,Nannie Helen Burroughs Ave & 49th St NE,38.898536,-76.931862,4379,374
31711,Deanwood Rec Center,38.908473,-76.933099,3955,536
31273,Hains Point/Buckeye & Ohio Dr SW,38.878433,-77.03023,106914,17059
31070,Arlington Blvd & Fillmore St,38.873755,-77.089233,22990,530
31071,Eads St & 12th St S,38.862753,-77.05428,48173,3054
32039,Old Georgetown Rd & Southwick St,38.999634,-77.109647,16086,535
32040,Friendship Blvd & Willard Ave,38.96115,-77.088659,21031,1741
31637,North Capitol St & G Pl NE,38.899703,-77.008911,129723,1120
31072,31st St & S Woodrow St,38.8378458,-77.0934784,4707,301
31073,Washington Blvd & Walter Reed Dr ,38.873219,-77.082104,20916,474
31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,38.869418,-77.095596,22789,1623
31313,Connecticut Ave & Tilden St NW,38.94113915653008,-77.061977237463,46374,945
32041,Medical Center Dr & Key West Ave,39.103091,-77.196442,2427,263
32042,Shady Grove Hospital,39.097636,-77.196636,1117,60
32043,Veterans Pl & Pershing Dr ,38.997445,-77.023894,8564,626
32044,Rockville Metro East,39.085394,-77.145803,5199,307
31638,1st & H St NW,38.900358,-77.012108,152545,2073
31515,Fort Totten Metro,38.952369,-77.002721,29125,1138
31408,Takoma Metro,38.975219,-77.016855,78288,1385
31516,Rhode Island Ave Metro,38.920682,-76.995876,62428,1902
31075,Rolfe St & 9th St S,38.866471,-77.076131,11349,559
31076,S Randolph St & Campbell Ave,38.84065400672152,-77.08865851163864,13309,621
32045,Shady Grove Metro West,39.119765,-77.166093,14523,193
32046,River Rd & Landy Ln,38.964992,-77.103381,40563,2826
32048,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,38.984691,-77.094537,39211,1141
31077,Iwo Jima Memorial / Meade & 14th St N,38.88992,-77.071301,129689,5514
31314,34th & Water St NW,38.9037315,-77.0675285,183958,14258
31081,Duke St & John Carlyle St,38.804378,-77.060866,24424,611
31079,Langston Blvd & N Cleveland St,38.894941,-77.09169,33690,433
31078,Arlington Blvd & S George Mason Dr,38.869442,-77.104503,17915,133
31274,10th & G St NW,38.89824328774852,-77.02623546123505,156059,2478
31080,Langston Blvd & N Scott St,38.897612,-77.080851,53502,891
31275,New Hampshire Ave & 24th St NW,38.901755,-77.051084,234971,3576
31082,Eisenhower Ave & Mill Race Ln,38.801111,-77.068952,21308,1587
31083,Potomac Greens Dr & Slaters Ln,38.82175,-77.047494,30744,1057
31084,Ballenger Ave & Dulaney St,38.802677,-77.063562,35463,1304
31085,Mount Vernon Ave & E Nelson Ave,38.820064,-77.057619,22107,502
31086,Mount Vernon Ave & E Del Ray Ave,38.82595,-77.058541,28364,642
31087,Monroe Ave & Leslie Ave,38.820932,-77.053096,24818,746
31088,Mount Vernon Ave & Kennedy St,38.833077,-77.059821,25187,909
31089,Court House Metro / 15th St & N Uhle St,38.890612,-77.084801,107504,1658
32049,WAU / Flower Ave & Division St,38.986743,-77.000035,9934,1294
31090,Long Bridge Park / Long Bridge Dr & 6th St S,38.865553,-77.05003,16116,1098
31315,Connecticut Ave & McKinley St NW,38.96454350924588,-77.07513481378555,25934,560
31276,15th & L St NW,38.903649,-77.034918,177783,2270
31277,17th & G St NW,38.898282949523605,-77.03973233699799,277717,7483
32050,Spring St & 2nd Ave,38.997653,-77.034499,4638,450
31278,18th & R St NW,38.912648,-77.041834,250052,2519
31091,Joyce St & 16th St S,38.859254,-77.063275,35008,1607
31517,Union Market,38.907908,-76.99707,112835,1392
31092,Langston Blvd & N Monroe St,38.896456,-77.104562,13490,503
31093,21st St & N Pierce St,38.898984,-77.078317,26702,579
31094,Langston Blvd & N Kirkwood St,38.895377,-77.09713,14759,381
31279,19th & G St NW,38.898412,-77.043182,119992,1257
31522,2nd St & Seaton Pl NE,38.91475110883116,-77.00356006622314,39075,762
31902,Wilson Blvd & N Illinois St ,38.876528,-77.12712,15656,735
31095,Army Navy Dr & S Nash St,38.86215024521491,-77.06812083721161,7565,256
31293,Thomas Jefferson St NW & Water/K St NW,38.902826,-77.060173,89760,2813
31280,11th & S St NW,38.913761,-77.027025,155934,1669
31096,Walter Reed Dr & 8th St S,38.86612,-77.08787,12239,617
31639,2nd & G St NE,38.89967,-77.003666,156848,1978
31281,8th & O St NW,38.90864,-77.02277,299057,3193
31411,Georgia & Missouri Ave NW,38.961339,-77.027855,17829,673
31712,Oklahoma Ave & D St NE,38.894474,-76.974828,48883,2619
31640,Maryland Ave & E St NE,38.8962260397813,-76.99278563261032,105292,1587
31518,New York Ave & Hecht Ave NE,38.915604,-76.983683,64955,1859
31316,Yuma St & Tenley Circle NW,38.946182,-77.08059,10560,184
