st,en,popularity
31002,31634,31
31002,31635,5
31002,31636,2
31002,31637,25
31002,31638,10
31002,31639,12
31002,31640,40
31002,31641,23
31002,31642,4
31002,31643,8
31002,31644,4
31002,31645,5
31002,31646,406
31002,31647,2
31002,31648,11
31002,31650,22
31002,31651,2
31002,31652,11
31002,31653,4
31002,31654,19
31002,31655,8
31002,31658,1
31002,31659,1
31002,31660,2
31002,31661,2
31002,31662,3
31002,31664,1
31002,31666,12
31002,31667,5
31002,31668,3
31002,31669,7
31002,31700,1
31002,31701,4
31002,31703,1
31002,31708,3
31002,31712,5
31002,31801,13
31002,31802,15
31002,31806,1
31002,31807,2
31002,31812,6
31002,31902,6
31002,31903,104
31002,31904,11
31002,31905,5
31002,31906,150
31002,31907,218
31002,31908,31
31002,31909,280
31002,31910,275
31002,31912,88
31002,31913,28
31002,31914,1
31002,31915,153
31002,31916,1149
31002,31917,80
31002,31918,748
31002,31919,5
31002,31920,208
31002,31921,3
31002,31923,2
31002,31924,8
31002,31925,639
31002,31927,1
31002,31928,8
31002,31929,12
31002,31930,1
31002,31931,34
31002,31933,23
31002,31935,67
31002,31936,29
31002,31937,11
31002,31938,78
31002,31939,6
31002,31940,8
31002,31941,1
31002,31944,368
31002,31945,2
31002,31947,11
31002,31949,1
31002,31950,104
31002,31955,2
31002,31956,1
31002,31958,5
31002,31959,57
31002,31960,23
31002,31967,1
31002,31968,8
31002,31971,2
31002,31973,1
31002,32002,24
31002,32003,2
31002,32006,1
31002,32008,3
31002,32012,2
31002,32013,1
31002,32014,2
31002,32021,3
31002,32024,1
31002,32025,1
31002,32028,4
31002,32039,1
31002,32046,40
31002,32048,1
31002,32055,2
31002,32078,1
31002,32218,1
31002,32231,1
31002,32232,1
31002,32406,2
31002,32415,2
31002,32418,5
31002,32423,1
31002,32604,1
31003,31004,1093
31003,31005,3971
31003,31006,3644
31003,31007,1350
31003,31008,3343
31003,31009,3403
31003,31010,2502
31003,31011,7142
31003,31012,4350
31003,31013,2000
31003,31014,1188
31003,31015,242
31003,31016,56
31003,31017,10
31003,31018,65
31003,31019,13
31003,31020,18
31003,31021,19
31003,31022,17
31003,31023,21
31003,31024,26
31003,31025,17
31003,31026,34
31003,31027,43
31003,31028,16
31003,31029,31
31003,31030,22
31003,31031,72
31003,31032,14
31003,31033,27
31003,31034,4
31003,31035,4
31003,31036,3
31003,31037,21
31003,31038,7
31003,31039,21
31003,31040,8
31003,31041,792
31003,31042,438
31003,31043,302
31003,31044,99
31003,31045,59
31003,31046,85
31003,31047,267
31003,31048,69
31003,31049,3
31003,31050,4
31003,31051,38
31003,31052,994
31003,31053,234
31003,31054,11
31003,31055,173
31003,31056,113
31003,31057,103
31003,31058,7
31003,31059,144
31003,31060,255
31003,31061,37
31003,31062,369
31003,31063,14
31003,31064,1203
31003,31065,18
31003,31066,363
31003,31067,45
31003,31068,8
31003,31069,4
31003,31070,13
31003,31071,2151
31003,31072,19
31003,31073,51
31003,31074,51
31003,31075,82
31003,31076,75
31003,31077,226
31003,31078,21
31003,31079,39
31003,31080,91
31003,31081,14
31003,31082,16
31003,31083,147
31003,31084,23
31003,31085,677
31003,31086,100
31003,31087,182
31003,31088,239
31003,31089,37
31003,31090,619
31003,31091,888
31003,31092,1
31003,31093,9
31003,31094,16
31003,31095,364
31003,31096,11
31003,31097,140
31003,31098,68
31003,31099,30
31003,31100,53
31003,31101,33
31003,31102,21
31003,31103,17
31003,31104,21
31003,31105,9
31003,31106,19
31003,31107,34
31003,31108,235
31003,31109,7
31003,31110,66
31003,31111,36
31003,31112,27
31003,31113,17
31003,31114,29
31003,31115,8
31003,31116,53
31003,31117,110
31003,31118,4
31003,31119,9
31003,31120,13
31003,31121,13
31003,31122,5
31003,31123,7
31003,31124,8
31003,31125,48
31003,31126,1
31003,31127,11
31003,31128,14
31003,31129,77
31003,31130,3
31003,31131,4
31003,31132,8
31003,31200,73
31003,31201,130
31003,31202,32
31003,31203,94
31003,31204,194
31003,31205,86
31003,31206,176
31003,31207,2
31003,31208,45
31003,31209,103
31003,31211,202
31003,31212,95
31003,31213,93
31003,31214,64
31003,31215,288
31003,31216,90
31003,31217,641
31003,31218,284
31003,31219,186
31003,31220,244
31003,31221,121
31003,31222,443
31003,31223,34
31003,31224,24
31003,31225,277
31003,31226,27
31003,31227,76
31003,31228,81
31003,31229,30
31003,31230,149
31003,31231,254
31003,31232,132
31003,31233,95
31003,31234,72
31003,31235,361
31003,31236,136
31003,31237,82
31003,31238,159
31003,31239,27
31003,31240,486
31003,31241,132
31003,31242,126
31003,31243,167
31003,31244,55
31003,31245,36
31003,31246,111
31003,31247,1347
31003,31248,448
31003,31249,7570
31003,31250,22
31003,31251,29
31003,31252,23
31003,31253,22
31003,31254,61
31003,31255,8
31003,31256,69
31003,31257,79
31003,31258,2018
31003,31259,86
31003,31260,249
31003,31261,388
31003,31262,22
31003,31263,28
31003,31264,58
31003,31265,36
31003,31266,41
31003,31267,167
31003,31268,12
31003,31269,30
31003,31270,85
31003,31271,94
31003,31272,61
31003,31273,126
31003,31274,30
31003,31275,120
31003,31276,47
31003,31277,74
31003,31278,39
31003,31279,66
31003,31280,60
31003,31281,72
31003,31282,23
31003,31283,26
31003,31284,38
31003,31285,96
31003,31286,56
31003,31287,101
31003,31288,102
31003,31289,206
31003,31290,163
31003,31291,30
31003,31292,24
31003,31293,73
31003,31294,51
31003,31295,104
31003,31296,22
31003,31297,47
31003,31298,48
31003,31299,28
31003,31300,2
31003,31301,4
31003,31302,2
31003,31303,5
31003,31304,9
31003,31306,23
31003,31307,19
31003,31308,2
31003,31310,1
31003,31312,52
31003,31313,1
31003,31314,126
31003,31316,1
31003,31317,1
31003,31321,701
31003,31323,2
31003,31324,91
31003,31325,13
31003,31326,6
31003,31327,9
31003,31328,15
31003,31330,6
31003,31332,2
31003,31400,13
31003,31401,7
31003,31403,1
31003,31404,2
31003,31406,2
31003,31407,3
31003,31415,1
31003,31419,3
31003,31421,1
31003,31500,1
31003,31501,1
31003,31502,1
31003,31503,12
31003,31504,2
31003,31505,3
31003,31506,32
31003,31507,1
31003,31508,1
31003,31509,2
31003,31510,1
31003,31511,1
31003,31516,1
31003,31517,6
31003,31519,8
31003,31522,6
31003,31523,8
31003,31524,1
31003,31600,25
31003,31601,4
31003,31602,17
31003,31603,24
31003,31604,52
31003,31605,45
31003,31606,19
31003,31607,18
31003,31608,14
31003,31609,502
31003,31610,25
31003,31611,7
31003,31612,12
31003,31613,53
31003,31614,10
31003,31615,22
31003,31616,41
31003,31617,2
31003,31618,38
31003,31619,19
31003,31620,38
31003,31621,16
31003,31622,5
31003,31623,170
31003,31624,52
31003,31625,7
31003,31626,1
31003,31627,23
31003,31628,122
31003,31629,1
31003,31630,10
31003,31631,4
31003,31632,4
31003,31633,78
31003,31634,33
31003,31635,1
31003,31636,4
31003,31637,12
31003,31638,8
31003,31639,9
31003,31640,8
31003,31641,7
31003,31643,14
31003,31644,4
31003,31645,9
31003,31646,242
31003,31647,3
31003,31648,13
31003,31649,4
31003,31650,10
31003,31651,25
31003,31652,14
31003,31653,10
31003,31654,9
31003,31655,7
31003,31657,2
31003,31658,1
31003,31659,7
31003,31661,1
31003,31662,2
31003,31663,1
31003,31664,2
31003,31666,14
31003,31667,5
31003,31668,5
31003,31669,2
31003,31672,1
31003,31707,2
31003,31708,1
31003,31712,1
31003,31801,2
31003,31802,1
31003,31805,1
31003,31900,1
31003,31901,3
31003,31902,1
31003,31903,45
31003,31904,5
31003,31905,7
31003,31906,12
31003,31907,25
31003,31908,8
31003,31909,174
31003,31910,137
31003,31912,354
31003,31913,17
31003,31914,2
31003,31915,23
31003,31916,910
31003,31917,70
31003,31918,263
31003,31919,5
31003,31920,5
31003,31921,2
31003,31923,5
31003,31924,19
31003,31925,130
31003,31928,3
31003,31929,13
31003,31931,13
31003,31933,13
31003,31935,50
31003,31936,41
31003,31937,6
31003,31938,260
31003,31939,5
31003,31940,3
31003,31944,68
31003,31947,11
31003,31949,15
31003,31950,162
31003,31955,1
31003,31956,3
31003,31958,2
31003,31959,15
31003,31960,51
31003,31968,2
31003,31969,1
31003,31970,3
31003,31971,2
31003,32002,6
31003,32012,1
31003,32014,2
31003,32021,1
31003,32040,1
31003,32046,3
31003,32050,1
31003,32053,1
31003,32055,3
31003,32078,1
31003,32205,1
31003,32235,2
31003,32406,2
31003,32604,1
31004,31005,16245
31004,31006,3707
31004,31007,2957
31004,31008,1439
31004,31009,582
31004,31010,512
31004,31011,1679
31004,31012,133
31004,31013,1364
31004,31014,140
31004,31015,24
31004,31016,11
31004,31017,1
31004,31018,3
31004,31019,2
31004,31020,18
31004,31021,9
31004,31022,13
31004,31023,6
31004,31024,31
31004,31026,5
31004,31027,2
31004,31028,4
31004,31029,2
31004,31031,4
31004,31032,8
31004,31033,9
31004,31034,4
31004,31036,1
31004,31037,6
31004,31039,9
31004,31040,1
31004,31041,146
31004,31042,43
31004,31043,21
31004,31044,27
31004,31045,8
31004,31046,22
31004,31047,82
31004,31048,13
31004,31050,3
31004,31051,2
